Indegree,Outdegree,NumSCC,betweenness,closeness
1,1,0,0.0,0.31530165149983147
0,2,283,0.0,0.33542488347077803
12,29,0,13850.327657348307,0.4263901549680948
217,28,0,60079.45620211881,0.4649602385685885
2,1,0,4.76157466993613,0.2948313898518752
0,6,287,0.0,0.3704950495049505
6,7,0,157.60863603919083,0.34590497319282676
0,3,289,0.0,0.3332146037399822
5,3,0,141.04523993861352,0.31240607780931706
17,19,0,7330.307832984559,0.38881961762261014
1,1,0,38.822584276974546,0.3220864176278189
5,24,0,3988.111253425142,0.4196008073559094
5,3,0,132.23421273594622,0.3083388266315096
19,18,0,9034.380985821177,0.4021061680636149
0,1,296,0.0,0.6666666666666666
0,26,297,0.0,0.4196949304620906
1,10,0,13.334428283966005,0.3935633151030711
7,11,0,590.0183876614459,0.3805939788445891
0,5,300,0.0,0.3645041885836743
0,2,301,0.0,0.32164345882757434
0,4,302,0.0,0.3578122011856952
1,1,0,0.0,0.27486411047451154
1,3,0,1.232905516416684,0.3492626470039201
1,4,0,0.0,0.3462890986488988
0,3,306,0.0,0.35529813900493734
0,0,307,0.0,0.0
1,1,0,0.0,0.27502572394531827
1,0,309,0.0,0.27896227821678843
22,17,0,19576.878641967865,0.4152241455836662
15,11,0,3448.824786992633,0.3848210612916495
2,1,0,1791.190099221247,0.3168501270110076
1,0,313,0.0,0.6666666666666666
1,1,314,1.0,1.0
3,0,315,0.0,0.2922980784252461
1,3,0,3203.0,0.2928012519561815
134,43,0,67107.33771828974,0.45269779820953304
1,16,0,36.46369605717761,0.3997863247863248
3,22,0,4363.780886926942,0.39850905218317356
274,32,0,100482.4387264652,0.5036339165545087
1,4,321,5.640666150218189,0.3653583284514743
1,4,0,94.34131956045404,0.33901069034245335
3,6,0,70.81779167812078,0.3758537565287264
2,11,0,204.38660470455272,0.3519563581640331
6,6,0,998.7001201280916,0.3530188679245283
0,19,326,0.0,0.4121145374449339
14,13,0,1931.8438261268725,0.4013299013299013
42,19,0,34666.9957681994,0.4196949304620906
1,0,329,0.0,0.2904828442788387
1,9,330,32.004989423538646,0.3935633151030711
7,28,0,5744.189394377981,0.4290300389818849
1,2,0,1683.6265996407324,0.3501778027325473
1,4,0,47.88339250437518,0.34919746173945504
1,3,334,26.675687302077616,0.32021221975012837
36,102,0,61460.994591332106,0.4760814249363868
10,25,0,4698.606794615355,0.4243592651394874
2,6,0,33.465469069927785,0.36635989817897
14,12,0,393.91733734110073,0.3636540330417881
0,0,339,0.0,0.0
20,17,0,2965.0462335410252,0.40833697075512876
1,1,0,0.0,0.25996943170765596
70,22,0,14772.50323461863,0.43684333411160403
98,19,0,27547.89601372646,0.4427354472314245
13,11,0,7070.3527337356745,0.39987176747168196
2,8,0,1890.541223595652,0.3676557280408725
4,7,0,242.523283498786,0.3550284629981025
0,5,347,0.0,0.3459689349112426
0,2,348,0.0,0.3491323008023885
13,10,0,3105.1957763194246,0.3683070866141732
0,12,350,0.0,0.36939782823297135
4,22,0,287.01611037844964,0.4185682326621924
9,8,0,794.3895935728555,0.3384587554269175
3,5,0,172.5401240625836,0.3565167682926829
1,8,0,39.02955834223967,0.32899595568841217
1,7,0,1.3190293801277784,0.30090061112898037
6,6,0,761.7306883150356,0.3789750860846668
4,6,0,322.74843295633053,0.36168567562342935
3,8,0,1659.394354467763,0.38246116107931316
168,73,0,99786.43827463343,0.4868592245641426
13,14,0,1293.3325245701874,0.3992744344857021
6,3,0,871.5703074893205,0.3218094255245958
6,9,0,3281.8304112188125,0.3727091633466135
0,0,363,0.0,0.0
8,26,0,8595.134750960971,0.41057713407943824
4,1,365,37.38126670211751,0.3229202623403521
0,0,366,0.0,0.0
0,2,367,0.0,0.33470483005366725
1,4,0,5.800790136000007,0.3428623785962983
3,4,0,33.19305100488725,0.3277855641205326
0,11,370,0.0,0.39019812304483836
0,11,371,0.0,0.3653583284514743
0,4,372,0.0,0.31126268507735816
2,3,0,43.76922332814265,0.33681368136813683
0,3,374,0.0,0.30383241312114323
2,6,0,7.393527088869577,0.36372472783825816
0,5,376,0.0,0.3510977669356352
3,7,0,129.18530222885636,0.3906054279749478
1,5,0,41.32563682009761,0.35462471569370735
2,14,0,716.458570970313,0.3540878122634368
1,24,0,1096.0505189533903,0.41661099977733246
5,14,0,6419.70091055065,0.3880937564820577
17,25,0,1249.5903280663078,0.41931869116987897
3,9,0,4630.484640961002,0.36443319049474093
5,12,0,152.10796411409316,0.3904424040066778
123,72,0,79031.35060709325,0.4745117930509764
60,42,0,30089.144660022703,0.44002822201317027
4,11,0,9065.518960204476,0.3693249111725227
0,0,388,0.0,0.0
32,11,0,7854.303475396742,0.3768378650553877
1,3,0,20.40639766378447,0.3350044762757386
8,10,0,1467.9781131165012,0.3664316490403447
1,0,392,0.0,0.3069225721784777
1,3,393,4.2950173306857184,0.32431963945224473
5,7,0,722.3005118666417,0.3578122011856952
0,1,395,0.0,0.3044256426944354
1,2,0,3.5934501126190073,0.3079835390946502
3,3,0,1481.767135236454,0.35381996974281393
1,6,0,0.0,0.3710829036096787
91,20,0,31048.022894664682,0.4381733021077283
0,1,400,0.0,0.3047231270358306
1,0,401,0.0,0.3047231270358306
1,3,0,43.89120205980265,0.3189566996249574
1,5,0,37.00976436216898,0.3257879157234895
2,3,0,0.0,0.3819146764645846
6,27,0,1804.1367190658002,0.42755941499085925
5,4,0,8530.444842281378,0.310333388621662
2,1,0,0.0,0.23816191446028515
1,1,0,0.0,0.23686542600329155
170,44,0,75558.04018174075,0.476445123503947
0,3,410,0.0,0.3306822198656769
0,5,411,0.0,0.35644884739950466
100,37,0,33856.33343564083,0.4561189663578742
7,13,0,1632.2218919807772,0.4008999357188772
0,4,414,0.0,0.37397561463122125
0,3,415,0.0,0.35103189493433395
2,6,0,11.75961108665873,0.37145126067103434
3,18,0,1521.3318431172147,0.37882162381048795
29,14,0,5390.028928219122,0.4067391304347826
84,18,0,15049.36964807769,0.4397179788484136
2,5,0,117.18276790860011,0.33488455342759976
4,4,0,80.75199711866398,0.36722276741903825
10,13,0,1019.357390494906,0.3652156939293383
1,6,393,98.40861993262227,0.34757570128181314
1,4,0,23.063757038953636,0.3303902525163341
0,5,425,0.0,0.31695747924784007
0,3,426,0.0,0.34148567256798684
2,4,0,42.51444950839778,0.3527526395173454
16,16,0,11749.85821790125,0.3623862095680806
0,2,429,0.0,0.3248263888888889
2,7,0,56.940646255388934,0.3609878448774841
3,1,0,0.0,0.32477000520742927
4,19,0,767.5787183321936,0.4178204555605181
0,0,433,0.0,0.0
19,22,0,12545.501469159026,0.4000427624545649
8,1,0,46.349633548683975,0.3223083548664944
0,16,436,0.0,0.38737060041407867
0,5,437,0.0,0.3617556071152359
